group,id,condition,question,content
a,e_x4,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 40% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 60% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x8,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x1,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x7,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x3,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x2,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x6,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 60% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 40% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x9,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 90% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 10% chance of <span style='color: #FFA500'>Party Y</span> winning
a,e_x5,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 50% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 50% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x4,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 40% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 60% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x8,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 80% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 20% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x1,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 10% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 90% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x7,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 70% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 30% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x3,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 30% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 70% chance of <span style='color: #FFA500'>Party Y</span> winning
b,e_x2,unk_election,"What do you think is the probability of <span style='color: #BF40BF'>Party X</span>  winning the election? If you are uncertain about what the probability of <span style='color: #BF40BF'>Party X</span>  winning is, please select all of the probabilities that <b>you think</b> are plausible.",-------------------------------------------<br>SCENE<br>You see the company predicts: <br>  • 20% chance of <span style='color: #BF40BF'>Party X</span> winning<br>  • 80% chance of <span style='color: #FFA500'>Party Y</span> winning
