group,id,condition,context,question,image,probably,might,bare,type,correct,incorrect
a,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
a,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
a,g_o9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_90.png,gumball_orange_70.png
a,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
b,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
b,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
b,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
b,g_o9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_90.png,gumball_orange_70.png
b,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
c,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
c,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
c,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
c,g_p9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_90.png,gumball_purple_70.png
c,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
d,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
d,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
d,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
d,g_p9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_90.png,gumball_purple_70.png
d,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
